platform,age_group,gender,city,interest,engagement_rate,time_spent_minutes
Instagram,35-44,Masculino,Belo Horizonte,Moda,0.031298285694105754,55
Instagram,65+,Outro,Campinas,Automóveis,0.05022371815925454,18
Instagram,25-34,Feminino,São Paulo,Casa e Decoração,0.024815477058225174,39
Instagram,55-64,Feminino,Brasília,Casa e Decoração,0.06999132967717298,22
Instagram,45-54,Masculino,Rio de Janeiro,Arte,0.04489858609033988,37
Instagram,65+,Outro,Salvador,Casa e Decoração,0.0444001485617429,26
Instagram,18-24,Outro,Curitiba,Saúde,0.06902450383386297,8
Instagram,45-54,Outro,Rio de Janeiro,Fitness,0.047924099807366206,12
Instagram,25-34,Masculino,Fortaleza,Automóveis,0.03733064614131751,28
Instagram,65+,Masculino,Guarulhos,Educação,0.052673904285510095,58
Instagram,25-34,Feminino,Rio de Janeiro,Casa e Decoração,0.0622071618684583,26
Instagram,65+,Masculino,Porto Alegre,Culinária,0.03339268843175744,21
Instagram,18-24,Outro,Curitiba,Beleza,0.0799684407883068,52
Instagram,35-44,Masculino,Belém,Tecnologia,0.06683312998037064,45
Instagram,18-24,Outro,Rio de Janeiro,Automóveis,0.03402318045695248,7
Instagram,35-44,Masculino,Guarulhos,Culinária,0.039580589230820695,19
Instagram,25-34,Masculino,Campinas,Arte,0.03305109275499591,25
Instagram,45-54,Feminino,Belém,Fitness,0.07936784300793873,54
Instagram,45-54,Outro,Salvador,Casa e Decoração,0.06321888501890548,45
Instagram,35-44,Masculino,São Luís,Arte,0.05865750542682688,20
Instagram,55-64,Feminino,Goiânia,Automóveis,0.022633472751014166,51
Instagram,35-44,Feminino,Curitiba,Esportes,0.026894655920759854,46
Instagram,55-64,Masculino,São Paulo,Entretenimento,0.06271239232415232,35
Instagram,45-54,Outro,Porto Alegre,Beleza,0.033900825105663286,30
Instagram,45-54,Feminino,Campinas,Automóveis,0.07635346048935104,11
Instagram,35-44,Feminino,Brasília,Tecnologia,0.06506543642912907,41
Instagram,65+,Masculino,Curitiba,Saúde,0.0625055213401001,12
Instagram,45-54,Masculino,Curitiba,Moda,0.07898441579051604,40
Instagram,45-54,Masculino,Curitiba,Casa e Decoração,0.023349894602475663,24
Instagram,55-64,Outro,São Paulo,Tecnologia,0.025662203675582876,19
Instagram,65+,Outro,Fortaleza,Culinária,0.06892040338904488,50
Instagram,65+,Masculino,Recife,Moda,0.06067460110394747,33
Instagram,65+,Feminino,Curitiba,Beleza,0.03946699400241519,53
Instagram,35-44,Masculino,Manaus,Viagem,0.03078815766111824,34
Instagram,55-64,Masculino,Rio de Janeiro,Tecnologia,0.07950389067068898,44
Instagram,18-24,Feminino,Campinas,Negócios,0.07805176835468221,43
Instagram,65+,Masculino,Porto Alegre,Culinária,0.03282435708183968,22
Instagram,18-24,Outro,Rio de Janeiro,Negócios,0.07393536467197363,19
Instagram,45-54,Feminino,Curitiba,Negócios,0.05478838039718882,20
Instagram,45-54,Outro,São Paulo,Beleza,0.0698640433792079,45
Instagram,45-54,Outro,Campinas,Educação,0.05315041811179244,22
Instagram,25-34,Feminino,Campinas,Automóveis,0.05193143741336674,57
Instagram,55-64,Feminino,Porto Alegre,Tecnologia,0.059033846781822344,12
Instagram,65+,Feminino,Curitiba,Tecnologia,0.03075954206268996,58
Instagram,25-34,Masculino,Porto Alegre,Fitness,0.05135433617378474,53
Instagram,18-24,Feminino,São Paulo,Negócios,0.06576144349200659,34
Instagram,45-54,Outro,Guarulhos,Fitness,0.04963588093750809,46
Instagram,45-54,Feminino,Porto Alegre,Esportes,0.06141548414912379,40
Instagram,65+,Outro,Rio de Janeiro,Saúde,0.06422190678148593,32
Instagram,45-54,Feminino,Belém,Entretenimento,0.04108960698413991,51
Instagram,45-54,Feminino,Belo Horizonte,Automóveis,0.0656388690914975,47
Instagram,18-24,Feminino,Curitiba,Saúde,0.04346741222589547,17
Instagram,55-64,Masculino,Brasília,Moda,0.03313622527310004,17
Instagram,45-54,Masculino,Belo Horizonte,Moda,0.06718168692874402,37
Instagram,35-44,Outro,Belo Horizonte,Automóveis,0.036623886829827076,39
Instagram,45-54,Feminino,São Paulo,Casa e Decoração,0.04043927873128478,11
Instagram,35-44,Feminino,São Luís,Entretenimento,0.04531299452086385,47
Instagram,65+,Feminino,Porto Alegre,Beleza,0.02833330385672001,48
Instagram,45-54,Outro,Curitiba,Casa e Decoração,0.06536614070606389,19
Instagram,45-54,Masculino,Recife,Saúde,0.06277686308686488,38
Instagram,45-54,Outro,São Luís,Tecnologia,0.04005146063372972,46
Instagram,45-54,Masculino,Salvador,Moda,0.0458408796691705,55
Instagram,65+,Feminino,Rio de Janeiro,Beleza,0.06639588324160654,19
Instagram,18-24,Outro,Goiânia,Casa e Decoração,0.02843443093323584,55
Instagram,45-54,Masculino,Goiânia,Esportes,0.02539565392456485,31
Instagram,35-44,Masculino,São Paulo,Esportes,0.037645957085365445,57
Instagram,18-24,Feminino,Brasília,Moda,0.03279029079843167,11
Instagram,45-54,Masculino,Salvador,Saúde,0.032406726821005524,9
Instagram,45-54,Feminino,Fortaleza,Esportes,0.029092540341981978,53
Instagram,25-34,Outro,Belo Horizonte,Moda,0.04730288211273248,43
Instagram,65+,Feminino,Salvador,Arte,0.048075479236579635,32
Instagram,45-54,Feminino,Brasília,Esportes,0.02164795844973665,20
Instagram,65+,Masculino,São Luís,Saúde,0.07692085493309679,11
Instagram,18-24,Feminino,Rio de Janeiro,Educação,0.06208958975028531,24
Instagram,65+,Masculino,Belo Horizonte,Tecnologia,0.06581566192220989,47
Instagram,35-44,Masculino,Goiânia,Música,0.03960509936312232,53
Instagram,45-54,Outro,Curitiba,Casa e Decoração,0.022721912977702624,22
Instagram,45-54,Feminino,São Luís,Saúde,0.06248167127602407,26
Instagram,18-24,Feminino,Goiânia,Casa e Decoração,0.033892776993643806,8
Instagram,18-24,Masculino,Recife,Casa e Decoração,0.026326081560315157,36
Instagram,55-64,Feminino,Belo Horizonte,Beleza,0.053986441161071236,28
Instagram,25-34,Outro,Brasília,Beleza,0.052600449456111795,19
Instagram,25-34,Outro,São Luís,Música,0.026211890024011513,49
Instagram,25-34,Outro,Brasília,Educação,0.02226058396803544,11
Instagram,55-64,Feminino,Belém,Esportes,0.0714235892114124,10
Instagram,35-44,Masculino,Porto Alegre,Música,0.045470910550420005,6
Instagram,45-54,Outro,São Paulo,Esportes,0.03649820127567674,14
Instagram,65+,Outro,Curitiba,Beleza,0.0413528395658086,8
Instagram,45-54,Masculino,Belo Horizonte,Viagem,0.0665661981131752,33
Instagram,25-34,Masculino,Curitiba,Música,0.07744850370227932,52
Instagram,18-24,Masculino,Campinas,Música,0.03188241637876647,27
Instagram,45-54,Feminino,Goiânia,Moda,0.07126767753069006,20
Instagram,25-34,Outro,Brasília,Educação,0.03324181636828721,43
Instagram,35-44,Masculino,Belém,Saúde,0.021850039256465847,41
Instagram,35-44,Feminino,Goiânia,Entretenimento,0.06515376029430583,16
Instagram,25-34,Masculino,São Luís,Entretenimento,0.026977537859926223,36
Instagram,25-34,Feminino,Curitiba,Casa e Decoração,0.024257857315744934,53
Instagram,35-44,Masculino,Manaus,Música,0.028548472983754774,32
Instagram,35-44,Outro,São Paulo,Saúde,0.04580938051813137,41
Instagram,55-64,Masculino,São Luís,Saúde,0.03976319400432807,57
Instagram,65+,Outro,Salvador,Culinária,0.05187151485326659,27
Instagram,65+,Feminino,Guarulhos,Música,0.07213557158956108,31
Instagram,18-24,Outro,São Luís,Negócios,0.06758538410807016,31
Instagram,55-64,Masculino,Curitiba,Automóveis,0.07632066627648011,46
Instagram,35-44,Masculino,Manaus,Automóveis,0.04556459523032742,37
Instagram,55-64,Masculino,Belém,Viagem,0.05898435816786582,51
Instagram,65+,Outro,Curitiba,Tecnologia,0.0730789781774702,28
Instagram,18-24,Masculino,Salvador,Moda,0.07067138475990964,25
Instagram,25-34,Outro,Brasília,Entretenimento,0.027254880169709717,36
Instagram,55-64,Masculino,Fortaleza,Música,0.02917817384899208,9
Instagram,25-34,Feminino,Manaus,Música,0.055373176341645444,16
Instagram,35-44,Feminino,Porto Alegre,Educação,0.04227792699256191,35
Instagram,65+,Outro,Campinas,Tecnologia,0.03264604893009009,53
Instagram,35-44,Outro,Salvador,Automóveis,0.07154886066413119,59
Instagram,65+,Outro,Belém,Negócios,0.030421820005651478,36
Instagram,45-54,Feminino,Salvador,Educação,0.0665443461960191,60
Instagram,55-64,Outro,Brasília,Automóveis,0.023512246692414536,60
Instagram,18-24,Feminino,São Paulo,Negócios,0.07778319540625103,13
Instagram,45-54,Feminino,Salvador,Esportes,0.07416002848335095,5
Instagram,25-34,Outro,Guarulhos,Tecnologia,0.025291112410932213,26
Instagram,45-54,Masculino,Guarulhos,Casa e Decoração,0.03770077516461374,29
Instagram,35-44,Masculino,Porto Alegre,Beleza,0.06454155226598997,7
Instagram,35-44,Masculino,Belo Horizonte,Música,0.028873866358169006,27
Instagram,18-24,Masculino,Belo Horizonte,Viagem,0.07984322534522244,37
Instagram,45-54,Masculino,Belém,Educação,0.050124434294012324,37
Instagram,18-24,Outro,Fortaleza,Arte,0.024603607212524307,14
Instagram,55-64,Masculino,Belo Horizonte,Viagem,0.021819708623886377,34
Instagram,25-34,Masculino,Belém,Negócios,0.061169815649378595,34
Instagram,65+,Outro,Rio de Janeiro,Saúde,0.03865642390934022,55
Instagram,65+,Masculino,Porto Alegre,Saúde,0.029053695407780095,30
Instagram,65+,Outro,Fortaleza,Moda,0.028374948031143314,21
Instagram,65+,Outro,Goiânia,Negócios,0.06754083885803008,25
Instagram,55-64,Feminino,Rio de Janeiro,Educação,0.04145190248071414,13
Instagram,35-44,Feminino,Fortaleza,Fitness,0.06951796165967852,21
Instagram,35-44,Masculino,Brasília,Moda,0.06260500018738548,6
Instagram,45-54,Feminino,Manaus,Música,0.04791650632561898,27
Instagram,35-44,Masculino,Salvador,Culinária,0.06668510455726118,40
Instagram,18-24,Masculino,Belém,Música,0.05343571916642659,16
Instagram,25-34,Outro,Recife,Casa e Decoração,0.028010578521177665,27
Instagram,55-64,Masculino,Rio de Janeiro,Música,0.053902682272764124,29
Instagram,18-24,Outro,Manaus,Saúde,0.02836227857245375,58
Instagram,65+,Feminino,Salvador,Viagem,0.06283330441464975,32
Instagram,45-54,Masculino,Curitiba,Entretenimento,0.04639805496789198,21
Instagram,65+,Outro,Porto Alegre,Beleza,0.05159524197037477,33
Instagram,45-54,Outro,São Luís,Moda,0.031727232415982236,14
Instagram,55-64,Outro,São Luís,Automóveis,0.06209963877620511,31
Instagram,55-64,Feminino,Brasília,Educação,0.07016081664900768,49
Instagram,25-34,Outro,Brasília,Esportes,0.033133530186096535,7
Instagram,45-54,Masculino,Salvador,Arte,0.04358918780713313,31
Instagram,65+,Masculino,Fortaleza,Culinária,0.03230098482301171,56
Instagram,18-24,Masculino,Belo Horizonte,Fitness,0.029225227034424518,48
Instagram,18-24,Feminino,Guarulhos,Fitness,0.0707318224780058,36
Instagram,55-64,Feminino,São Paulo,Saúde,0.06302669451248742,50
Instagram,25-34,Feminino,Belém,Música,0.05253350956863306,54
Instagram,65+,Feminino,São Paulo,Automóveis,0.04914686319245552,41
Instagram,35-44,Feminino,São Luís,Música,0.07510260812141707,53
Instagram,45-54,Outro,Salvador,Arte,0.04032486863594823,49
Instagram,55-64,Feminino,Fortaleza,Esportes,0.05115470096061013,38
Instagram,45-54,Masculino,Belo Horizonte,Arte,0.07189826568586773,54
Instagram,65+,Masculino,Salvador,Viagem,0.05632897146086792,21
Instagram,18-24,Outro,São Paulo,Saúde,0.039925485618440934,15
Instagram,65+,Masculino,Fortaleza,Saúde,0.059355044264112256,51
Instagram,18-24,Feminino,Curitiba,Música,0.030433537676421304,39
Instagram,45-54,Masculino,Fortaleza,Viagem,0.07066937257953791,15
Instagram,18-24,Outro,Curitiba,Entretenimento,0.02839445591473877,59
Instagram,18-24,Feminino,Rio de Janeiro,Culinária,0.03356937323269795,48
Instagram,18-24,Masculino,São Luís,Viagem,0.05266174546338448,53
Instagram,18-24,Outro,Campinas,Viagem,0.07298648266808946,35
Instagram,18-24,Outro,Rio de Janeiro,Tecnologia,0.057391624121038876,59
Instagram,18-24,Feminino,Belém,Beleza,0.05945447433849388,41
Instagram,55-64,Outro,Belém,Esportes,0.02886479280242993,19
Instagram,65+,Masculino,São Paulo,Arte,0.04060892863957842,40
Instagram,35-44,Outro,Rio de Janeiro,Entretenimento,0.03110694298397103,34
Instagram,25-34,Masculino,Guarulhos,Moda,0.057605857426414386,42
Instagram,35-44,Feminino,Belém,Entretenimento,0.02186718820779582,33
Instagram,18-24,Feminino,Brasília,Fitness,0.04935376539533952,16
Instagram,55-64,Outro,Belém,Culinária,0.04798063271924768,6
Instagram,18-24,Outro,Campinas,Saúde,0.04108594391321911,27
Instagram,65+,Masculino,Curitiba,Negócios,0.06776773018429026,17
Instagram,65+,Masculino,Curitiba,Tecnologia,0.06677214002489397,46
Instagram,25-34,Outro,Fortaleza,Arte,0.028308612363098132,24
Instagram,45-54,Outro,Guarulhos,Casa e Decoração,0.07377681083094344,33
Instagram,55-64,Feminino,Goiânia,Moda,0.06272408987967593,43
Instagram,45-54,Masculino,Fortaleza,Arte,0.07109996821417135,31
Instagram,45-54,Masculino,Rio de Janeiro,Entretenimento,0.0750279167029134,53
Instagram,65+,Feminino,Rio de Janeiro,Casa e Decoração,0.04893759866985632,60
Instagram,65+,Outro,Salvador,Negócios,0.027609828991633587,19
Instagram,55-64,Feminino,Porto Alegre,Viagem,0.056614351729155826,26
Instagram,35-44,Outro,Belo Horizonte,Beleza,0.06394578002281294,57
Instagram,18-24,Outro,São Paulo,Viagem,0.04962974140341227,14
Instagram,45-54,Masculino,Rio de Janeiro,Tecnologia,0.030600361628131546,28
Instagram,18-24,Outro,São Paulo,Música,0.040189718798142926,11
Instagram,55-64,Feminino,Campinas,Esportes,0.06649777491818534,7
Instagram,35-44,Masculino,Guarulhos,Automóveis,0.04624035639588542,44
Instagram,55-64,Outro,Campinas,Negócios,0.06599174344935899,33
Instagram,45-54,Feminino,Campinas,Automóveis,0.07798012399248078,26
Instagram,35-44,Outro,Salvador,Viagem,0.05050112312522053,18
Instagram,55-64,Outro,Guarulhos,Beleza,0.03163406940594496,19
Instagram,18-24,Outro,Belém,Educação,0.0524359476279546,35
Instagram,25-34,Feminino,São Luís,Moda,0.07572933130022472,56
Instagram,65+,Feminino,Guarulhos,Entretenimento,0.0473651629500471,56
Instagram,18-24,Feminino,Rio de Janeiro,Educação,0.04279610230731486,48
Instagram,18-24,Masculino,Campinas,Saúde,0.058219380236438675,44
Instagram,25-34,Masculino,Curitiba,Viagem,0.04216897679536375,41
Instagram,25-34,Outro,Fortaleza,Tecnologia,0.02293604504320896,50
Instagram,18-24,Feminino,Brasília,Beleza,0.06602774023620858,54
Instagram,18-24,Masculino,Manaus,Culinária,0.03024318326055636,49
Instagram,45-54,Masculino,Recife,Automóveis,0.069004935860005,25
Instagram,25-34,Feminino,Fortaleza,Beleza,0.05252262976436271,49
Instagram,18-24,Feminino,Curitiba,Entretenimento,0.042972309815369425,8
Instagram,45-54,Masculino,São Luís,Moda,0.06059560997123531,56
Instagram,45-54,Feminino,Brasília,Viagem,0.06272590461402684,40
Instagram,18-24,Masculino,Guarulhos,Educação,0.027751652828325715,25
Instagram,45-54,Masculino,Brasília,Moda,0.0361220438781437,40
Instagram,55-64,Masculino,Rio de Janeiro,Culinária,0.032131490417929,57
Instagram,65+,Feminino,Salvador,Viagem,0.07019431514619692,27
Instagram,65+,Masculino,Curitiba,Música,0.05722984688360329,13
Instagram,18-24,Outro,Campinas,Tecnologia,0.0442315057573926,31
Instagram,35-44,Outro,Belo Horizonte,Viagem,0.03706366621202685,54
Instagram,25-34,Feminino,Goiânia,Viagem,0.07634859294780841,6
Instagram,55-64,Masculino,Manaus,Saúde,0.07806993570188489,40
Instagram,35-44,Outro,Brasília,Moda,0.038923134130629894,12
Instagram,18-24,Masculino,Manaus,Fitness,0.04323938087506131,13
Instagram,55-64,Masculino,Rio de Janeiro,Música,0.02966912680029765,60
Instagram,65+,Masculino,Salvador,Casa e Decoração,0.07769256419154687,26
Instagram,45-54,Feminino,Brasília,Música,0.027046023444105928,54
Instagram,45-54,Masculino,São Paulo,Esportes,0.05574117373543605,51
Instagram,65+,Feminino,Fortaleza,Casa e Decoração,0.05957646742884688,46
Instagram,35-44,Masculino,Campinas,Educação,0.05628455000990276,58
Instagram,45-54,Outro,São Luís,Viagem,0.03621487952044279,54
Instagram,65+,Masculino,Campinas,Esportes,0.0433165266539325,17
Instagram,65+,Feminino,Goiânia,Fitness,0.042262842999046694,30
Instagram,18-24,Outro,Belo Horizonte,Esportes,0.022671492998937545,21
Instagram,35-44,Outro,São Paulo,Tecnologia,0.044861043999848124,44
Instagram,45-54,Feminino,Belém,Culinária,0.0400930896269329,40
Instagram,45-54,Outro,Guarulhos,Moda,0.054462516781695086,25
Instagram,25-34,Feminino,São Luís,Saúde,0.07839558935047941,43
Instagram,35-44,Outro,Belo Horizonte,Arte,0.02497154458896908,59
Instagram,45-54,Masculino,Goiânia,Esportes,0.03268445338700516,33
Instagram,55-64,Feminino,Fortaleza,Viagem,0.06637506434933162,60
Instagram,45-54,Masculino,Manaus,Casa e Decoração,0.038956760773656784,59
Instagram,65+,Feminino,Salvador,Educação,0.0550755558063894,26
Instagram,25-34,Feminino,Goiânia,Esportes,0.041620907672407385,44
Instagram,45-54,Feminino,Campinas,Viagem,0.022159486465167244,59
Instagram,25-34,Feminino,Curitiba,Moda,0.0687388295814834,8
Instagram,45-54,Outro,Fortaleza,Saúde,0.04022889882718132,16
Instagram,25-34,Masculino,Porto Alegre,Negócios,0.06520007186614328,14
Instagram,25-34,Outro,Belo Horizonte,Música,0.06623104285012396,44
Instagram,55-64,Outro,Brasília,Saúde,0.0536001715346191,35
Instagram,45-54,Feminino,Belo Horizonte,Arte,0.07951227090254512,29
Instagram,45-54,Feminino,Brasília,Entretenimento,0.02759331162734882,58
Instagram,25-34,Feminino,Fortaleza,Negócios,0.07271392826646769,16
Instagram,45-54,Feminino,Rio de Janeiro,Entretenimento,0.04328449749902706,60
Instagram,25-34,Masculino,Porto Alegre,Viagem,0.036219128253770494,11
Instagram,18-24,Outro,Belém,Viagem,0.06591507870233224,10
Instagram,55-64,Feminino,Porto Alegre,Educação,0.05944376826112155,45
Instagram,65+,Masculino,Recife,Beleza,0.03939009188409727,12
Instagram,55-64,Feminino,Salvador,Entretenimento,0.07303631474817117,30
Instagram,55-64,Masculino,Belém,Automóveis,0.039640169914749744,23
Instagram,35-44,Outro,Brasília,Casa e Decoração,0.044081520691315955,48
Instagram,55-64,Masculino,São Luís,Moda,0.058462679374300996,15
Instagram,35-44,Outro,Salvador,Culinária,0.07235332559945565,55
Instagram,25-34,Outro,Brasília,Viagem,0.0389639469483028,57
Instagram,18-24,Feminino,Recife,Viagem,0.0351403673399646,55
Instagram,35-44,Outro,Porto Alegre,Beleza,0.055489345131280454,11
Instagram,18-24,Feminino,Guarulhos,Tecnologia,0.021322683231310556,21
Instagram,55-64,Outro,Fortaleza,Arte,0.052738177485802715,20
Instagram,35-44,Feminino,Salvador,Educação,0.024589759838393704,39
Instagram,18-24,Feminino,Porto Alegre,Música,0.07438784713323292,15
Instagram,55-64,Masculino,São Paulo,Culinária,0.042175213442068114,46
Instagram,45-54,Feminino,Belém,Música,0.03909028887662631,45
Instagram,45-54,Masculino,Porto Alegre,Moda,0.041165300640579244,41
Instagram,65+,Feminino,Guarulhos,Negócios,0.0711707963598203,13
Instagram,45-54,Feminino,Rio de Janeiro,Culinária,0.06934945278779085,11
Instagram,55-64,Outro,São Paulo,Moda,0.05768545376856822,24
Instagram,35-44,Feminino,Salvador,Saúde,0.044495159228441786,9
Instagram,55-64,Feminino,Manaus,Fitness,0.07498957879953011,19
Instagram,18-24,Feminino,Belo Horizonte,Educação,0.06820836027107066,46
Instagram,55-64,Outro,Guarulhos,Moda,0.025416642229184536,13
Instagram,65+,Outro,São Luís,Culinária,0.0726200184655866,41
Instagram,25-34,Outro,Curitiba,Saúde,0.03403039386746398,32
Instagram,65+,Masculino,Recife,Culinária,0.02510208039191104,21
Instagram,35-44,Feminino,São Paulo,Automóveis,0.05965568729034203,20
Instagram,18-24,Feminino,Belo Horizonte,Saúde,0.0396686657061573,18
Instagram,35-44,Masculino,Belo Horizonte,Arte,0.07671906070703327,47
Instagram,25-34,Feminino,Porto Alegre,Tecnologia,0.07295187023247111,24
Instagram,35-44,Masculino,Campinas,Esportes,0.06201336679655524,11
Instagram,65+,Feminino,São Luís,Tecnologia,0.03895309267167869,27
Instagram,65+,Masculino,Curitiba,Educação,0.06721344933856833,24
Instagram,18-24,Feminino,São Luís,Automóveis,0.0771156374781159,7
Instagram,55-64,Outro,Brasília,Esportes,0.06478919699358347,18
Instagram,18-24,Masculino,Belo Horizonte,Arte,0.02704968183717943,34
Instagram,55-64,Outro,Campinas,Educação,0.03145280563537427,13
Instagram,18-24,Masculino,Belo Horizonte,Esportes,0.0685743400399995,28
Instagram,65+,Feminino,Campinas,Casa e Decoração,0.06146020683784649,24
Instagram,35-44,Feminino,Goiânia,Arte,0.02729050107517782,16
Instagram,35-44,Feminino,Belém,Esportes,0.0662887888338861,43
Instagram,55-64,Outro,Belém,Música,0.06253206088642478,26
Instagram,45-54,Outro,Guarulhos,Arte,0.07611558068991085,25
Instagram,25-34,Masculino,Manaus,Esportes,0.06949814482130882,44
Instagram,55-64,Feminino,Brasília,Entretenimento,0.07583881078176692,9
Instagram,35-44,Masculino,Fortaleza,Educação,0.055407441758199824,6
Instagram,35-44,Feminino,Fortaleza,Moda,0.027025343871684218,45
Instagram,45-54,Outro,Fortaleza,Esportes,0.059060419902073405,21
Instagram,45-54,Feminino,Porto Alegre,Arte,0.06502430095356164,21
Instagram,55-64,Outro,Campinas,Arte,0.03356216162667565,27
Instagram,55-64,Masculino,Campinas,Fitness,0.045874544280891404,32
Instagram,45-54,Masculino,Belo Horizonte,Culinária,0.07400217871884364,56
Instagram,18-24,Masculino,Fortaleza,Tecnologia,0.049270811965458655,51
Instagram,65+,Masculino,Rio de Janeiro,Moda,0.06745554268323056,35
Instagram,18-24,Outro,Porto Alegre,Saúde,0.023979481549313387,19
Instagram,65+,Masculino,Goiânia,Esportes,0.05634904615436423,11
Instagram,45-54,Outro,Goiânia,Educação,0.022703392426366417,44
Instagram,35-44,Masculino,Salvador,Beleza,0.06351107037898088,12
Instagram,25-34,Feminino,Goiânia,Viagem,0.027417264970362433,55
Instagram,35-44,Outro,São Paulo,Música,0.05558154747986363,25
Instagram,35-44,Outro,Rio de Janeiro,Saúde,0.06591518890498717,10
Instagram,25-34,Outro,Campinas,Educação,0.038221965784427096,23
Instagram,55-64,Outro,Goiânia,Casa e Decoração,0.05668255051919811,55
Instagram,25-34,Masculino,Rio de Janeiro,Culinária,0.04960552305732313,51
Instagram,45-54,Outro,Belém,Arte,0.048759436435766065,12
Instagram,25-34,Outro,Belém,Música,0.03235455441267937,52
Instagram,25-34,Outro,Belo Horizonte,Culinária,0.0718737674377893,6
Instagram,35-44,Masculino,Fortaleza,Tecnologia,0.07797562662520859,54
Instagram,25-34,Masculino,Recife,Viagem,0.05798810231456979,11
Instagram,25-34,Outro,Curitiba,Educação,0.054681882375916716,46
Instagram,35-44,Masculino,Brasília,Viagem,0.023994953507730905,32
Instagram,35-44,Outro,Goiânia,Viagem,0.07497563865677398,26
Instagram,65+,Feminino,Curitiba,Moda,0.06051230442160575,59
Instagram,65+,Masculino,Guarulhos,Culinária,0.06092858283620277,32
Instagram,35-44,Outro,Manaus,Tecnologia,0.03510765299079383,6
Instagram,55-64,Outro,Belém,Entretenimento,0.04160158893461853,33
Instagram,25-34,Feminino,São Luís,Arte,0.02900010263576943,14
Instagram,55-64,Outro,Belo Horizonte,Música,0.02453429056009025,25
Instagram,55-64,Feminino,Brasília,Educação,0.05649290119447403,6
Instagram,45-54,Masculino,Manaus,Tecnologia,0.05095145435830352,22
Instagram,65+,Outro,São Paulo,Educação,0.05784732504511103,53
Instagram,55-64,Feminino,São Paulo,Viagem,0.07661640076723047,25
Instagram,35-44,Masculino,Brasília,Arte,0.04595045991409341,46
Instagram,45-54,Masculino,Salvador,Moda,0.049706599824381636,40
Instagram,35-44,Masculino,Campinas,Casa e Decoração,0.07946370291548659,33
Instagram,55-64,Outro,Fortaleza,Música,0.02454508375250529,59
Instagram,65+,Feminino,Goiânia,Tecnologia,0.07751870788209288,9
Instagram,18-24,Masculino,Recife,Culinária,0.028680247787392775,11
Instagram,25-34,Masculino,São Luís,Moda,0.03557340843381575,42
Instagram,65+,Feminino,Manaus,Beleza,0.03524091625934635,36
Instagram,45-54,Masculino,São Luís,Música,0.04328194288595974,43
Instagram,25-34,Outro,Goiânia,Fitness,0.07330026548020052,18
Instagram,55-64,Feminino,Salvador,Tecnologia,0.0651436869867437,59
Instagram,35-44,Masculino,Fortaleza,Entretenimento,0.036256822067106044,9
Instagram,18-24,Feminino,Salvador,Viagem,0.03701058801334449,34
Instagram,35-44,Outro,Fortaleza,Casa e Decoração,0.056037342616132024,13
Instagram,35-44,Feminino,Guarulhos,Tecnologia,0.07813735076146124,37
Instagram,25-34,Outro,Guarulhos,Beleza,0.043761049768307324,24
Instagram,65+,Masculino,Salvador,Automóveis,0.03141489825150519,51
Instagram,45-54,Masculino,Belo Horizonte,Música,0.020652875246292442,16
Instagram,45-54,Feminino,Goiânia,Saúde,0.04353003071231971,45
Instagram,65+,Outro,São Luís,Música,0.07455959571595137,57
